,Date,Campaign Name,Ad Set,Ad,Spend,CPM,Impressions,Clicks,Add to Cart,Add Payment Info,Purchase
171,2024-04-20,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,93,5.96,15606,468,15,5,3
180,2024-04-21,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,67,5.85,11452,618,36,10,7
189,2024-04-22,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,65,6.51,9985,559,32,10,8
198,2024-04-23,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,67,6.55,10235,328,19,7,5
207,2024-04-24,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,90,6.23,14435,577,24,9,8
216,2024-04-25,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,95,6.19,15357,753,30,8,6
225,2024-04-26,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,63,5.57,11301,678,36,10,9
234,2024-04-27,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,77,5.21,14765,768,28,11,9
243,2024-04-28,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,63,6.25,10084,424,19,5,3
252,2024-04-29,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,91,6.27,14516,465,15,6,4
261,2024-04-30,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,99,6.29,15751,488,27,9,7
270,2024-05-01,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,82,6.74,12158,401,13,4,3
279,2024-05-02,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,87,5.81,14973,614,25,8,7
288,2024-05-03,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,68,5.06,13426,497,16,6,5
297,2024-05-04,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,68,6.51,10448,522,20,7,6
306,2024-05-05,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,66,5.38,12275,565,27,11,7
315,2024-05-06,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,68,5.27,12912,568,22,8,6
324,2024-05-07,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,67,6.96,9630,289,16,4,3
333,2024-05-08,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,66,6.24,10584,529,20,7,5
342,2024-05-09,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,71,5.88,12065,627,25,9,8
351,2024-05-10,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,71,5.65,12574,566,18,5,3
360,2024-05-11,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,79,6.65,11884,511,20,6,4
369,2024-05-12,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,90,6.06,14856,654,31,10,8
378,2024-05-13,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,60,6.21,9669,464,25,9,6
387,2024-05-14,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,96,6.36,15099,695,25,10,6
396,2024-05-15,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,69,6.68,10324,496,17,6,4
405,2024-05-16,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,66,6.75,9782,577,29,11,7
414,2024-05-17,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,84,5.31,15832,776,27,8,5
423,2024-05-18,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,149,9.12,16329,1535,86,34,23
432,2024-05-19,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,143,8.39,17047,1227,60,24,18
441,2024-05-20,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,149,10.8,13799,1352,62,18,12
450,2024-05-21,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,67,6.19,10815,552,27,7,4
459,2024-05-22,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,76,5.15,14744,811,43,16,12
468,2024-05-23,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,93,5.25,17717,673,32,12,10
477,2024-05-24,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,96,6.03,15930,733,30,10,7
486,2024-05-25,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,88,5.24,16783,973,46,13,8
495,2024-05-26,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,87,6.75,12887,735,27,9,7
504,2024-05-27,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,98,5.02,19525,722,42,14,10
513,2024-05-28,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,73,5.57,13114,590,19,5,4
522,2024-05-29,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,73,6.22,11740,528,17,6,4
531,2024-05-30,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,97,5.85,16582,945,42,17,11
540,2024-05-31,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,94,5.1,18438,1014,33,8,6
549,2024-04-01,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,37,25.87,1430,247,15,4,3
558,2024-04-02,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,39,24.69,1579,311,17,6,4
567,2024-04-03,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,36,25.19,1429,384,13,3,3
576,2024-04-04,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,45,26.96,1669,345,16,4,3
585,2024-04-05,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,40,26.56,1506,396,18,5,3
594,2024-04-06,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,39,26.75,1458,210,6,2,1
603,2024-04-07,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,33,24.13,1368,335,19,5,4
612,2024-04-08,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,50,25.65,1950,393,15,4,3
621,2024-04-09,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,43,24.22,1776,256,8,3,2
630,2024-04-10,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,38,26.13,1454,472,15,6,5
639,2024-04-11,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,33,26.24,1258,356,15,5,4
648,2024-04-12,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,43,25.68,1674,442,13,4,4
657,2024-04-13,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,45,26.47,1700,318,13,4,3
666,2024-04-14,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,30,25.21,1190,343,12,5,4
675,2024-04-15,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,35,25.27,1385,240,7,3,2
684,2024-04-16,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,45,25.83,1742,284,15,4,3
693,2024-04-17,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,50,25.97,1925,481,17,5,4
702,2024-04-18,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,49,24.57,1995,460,15,4,2
711,2024-04-19,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,43,26.13,1645,395,15,4,3
720,2024-04-20,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,39,26.59,1467,255,13,3,2
729,2024-04-21,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,31,25.12,1234,267,15,4,2
738,2024-04-22,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,40,24.87,1609,239,14,4,3
747,2024-04-23,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,40,26.88,1488,357,11,3,3
756,2024-04-24,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,39,26.4,1477,326,16,5,4
765,2024-04-25,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,43,24.63,1746,587,35,11,7
774,2024-04-26,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,37,26.46,1399,383,13,4,3
783,2024-04-27,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,33,26.88,1228,218,10,4,2
792,2024-04-28,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,44,25.83,1704,392,18,7,6
801,2024-04-29,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,35,26.22,1335,237,10,4,3
810,2024-04-30,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,46,25.85,1779,379,14,5,4
819,2024-05-01,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,41,26.8,1530,301,11,3,2
828,2024-05-02,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,38,25.38,1497,280,12,3,3
837,2024-05-03,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,44,25.19,1747,428,15,6,4
846,2024-05-04,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,46,26.96,1706,319,12,3,3
855,2024-05-05,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,47,24.89,1888,476,28,9,7
864,2024-05-06,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,31,26.56,1167,218,13,5,3
873,2024-05-07,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,34,24.53,1386,233,10,3,3
882,2024-05-08,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,49,24.81,1975,427,25,10,9
891,2024-05-09,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,35,26.73,1309,207,9,3,2
900,2024-05-10,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,44,25.35,1736,544,21,5,4
909,2024-05-11,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,36,24.83,1450,285,16,6,6
918,2024-05-12,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,31,25.06,1237,220,8,3,2
927,2024-05-13,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,45,24.59,1830,264,13,4,3
936,2024-05-14,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,30,24.28,1235,302,18,6,5
945,2024-05-15,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,45,24.2,1859,604,25,8,6
954,2024-05-16,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,32,24.59,1301,219,9,3,2
963,2024-05-17,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,48,26.89,1785,514,21,5,5
972,2024-05-18,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,183,24.81,7376,3069,181,67,54
981,2024-05-19,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,195,25.92,7525,3010,154,45,28
990,2024-05-20,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,184,26.98,6821,1691,101,33,23
999,2024-05-21,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,35,24.42,1433,399,12,3,2
1008,2024-05-22,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,32,26.52,1207,324,11,4,3
1017,2024-05-23,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,47,24.54,1916,294,11,3,3
1026,2024-05-24,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,42,25.57,1643,244,10,3,2
1035,2024-05-25,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,46,24.44,1882,622,33,10,6
1044,2024-05-26,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,34,26.43,1287,296,9,2,2
1053,2024-05-27,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,32,25.7,1245,347,13,5,5
1062,2024-05-28,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,38,26.51,1433,275,16,6,4
1071,2024-05-29,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,50,24.73,2022,514,21,7,6
1080,2024-05-30,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,33,25.57,1291,398,13,4,2
1089,2024-05-31,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - A,50,26.83,1863,510,22,9,8
1,2024-04-01,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,86,5.3,16213,402,16,6,5
10,2024-04-02,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,95,5.82,16325,705,28,7,5
19,2024-04-03,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,99,5.53,17887,458,15,5,3
28,2024-04-04,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,95,6.47,14691,482,17,6,4
37,2024-04-05,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,98,5.94,16488,541,19,6,5
46,2024-04-06,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,80,6.28,12740,571,25,7,4
55,2024-04-07,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,80,6.07,13182,453,14,5,3
64,2024-04-08,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,67,6.65,10070,387,12,4,3
73,2024-04-09,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,88,6.38,13793,552,17,4,3
82,2024-04-10,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,65,5.35,12151,447,13,5,3
91,2024-04-11,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,94,6.28,14970,395,17,5,3
100,2024-04-12,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,63,6.99,9011,260,10,3,2
109,2024-04-13,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,68,6.46,10520,429,18,7,6
118,2024-04-14,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,62,6.79,9134,292,9,3,2
127,2024-04-15,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,66,6.13,10770,465,19,7,6
136,2024-04-16,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,92,6.52,14113,384,12,3,3
145,2024-04-17,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,75,5.32,14101,429,13,4,2
154,2024-04-18,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,71,6.22,11420,512,29,10,7
163,2024-04-19,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,90,5.91,15226,426,19,8,6
172,2024-04-20,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,83,5.1,16273,417,18,6,4
181,2024-04-21,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,64,6.06,10557,363,17,6,3
190,2024-04-22,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,76,6.26,12150,583,20,5,4
199,2024-04-23,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,62,6.73,9217,251,8,3,3
208,2024-04-24,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,79,5.28,14968,599,25,8,5
217,2024-04-25,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,73,5.76,12665,344,19,7,5
226,2024-04-26,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,86,6.58,13065,470,27,8,6
235,2024-04-27,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,69,5.45,12656,496,18,7,6
244,2024-04-28,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,71,6.34,11199,475,14,5,5
253,2024-04-29,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,68,6.74,10082,298,13,4,4
262,2024-04-30,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,62,5.09,12174,292,11,4,3
271,2024-05-01,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,74,6.45,11481,514,21,8,7
280,2024-05-02,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,86,5.91,14562,443,19,5,3
289,2024-05-03,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,89,6.55,13580,511,21,6,6
298,2024-05-04,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,65,6.54,9936,310,11,4,3
307,2024-05-05,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,100,5.45,18340,514,23,6,4
316,2024-05-06,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,61,6.55,9307,409,17,6,4
325,2024-05-07,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,65,6.23,10429,350,13,5,4
334,2024-05-08,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,66,5.35,12327,375,18,6,4
343,2024-05-09,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,93,5.44,17101,739,35,14,10
352,2024-05-10,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,64,5.29,12104,300,16,5,3
361,2024-05-11,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,80,6.71,11929,344,18,5,4
370,2024-05-12,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,84,5.5,15281,660,38,11,7
379,2024-05-13,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,65,5.31,12236,441,17,5,4
388,2024-05-14,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,69,5.86,11784,321,17,4,3
397,2024-05-15,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,97,5.4,17959,575,19,8,6
406,2024-05-16,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,90,5.58,16115,425,17,5,4
415,2024-05-17,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,93,5.78,16103,490,23,9,6
424,2024-05-18,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,153,9.24,16559,874,26,9,6
433,2024-05-19,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,146,10.44,13985,1320,63,21,13
442,2024-05-20,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,146,9.62,15177,1311,68,19,15
451,2024-05-21,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,61,5.76,10587,432,23,6,5
460,2024-05-22,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,90,5.82,15473,458,15,6,4
469,2024-05-23,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,98,6,16320,405,20,8,5
478,2024-05-24,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,82,5.03,16304,443,20,8,5
487,2024-05-25,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,96,6.19,15508,434,21,7,5
496,2024-05-26,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,63,6,10498,260,11,3,2
505,2024-05-27,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,89,6.73,13229,434,24,7,6
514,2024-05-28,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,82,6.92,11854,531,32,8,6
523,2024-05-29,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,63,5.01,12581,453,19,7,5
532,2024-05-30,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,97,5.39,18000,835,42,16,13
541,2024-05-31,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,71,5.19,13683,471,18,6,4
550,2024-04-01,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,47,25.68,1830,346,15,6,4
559,2024-04-02,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,46,26.74,1720,557,17,7,6
568,2024-04-03,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,47,24.7,1903,360,13,4,4
577,2024-04-04,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,43,26.89,1599,276,16,5,4
586,2024-04-05,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,46,26.39,1743,403,24,8,5
595,2024-04-06,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,50,25.03,1997,518,17,6,4
604,2024-04-07,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,39,24.04,1622,280,9,2,2
613,2024-04-08,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,48,25.28,1898,441,26,8,7
622,2024-04-09,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,39,26.67,1462,316,14,5,5
631,2024-04-10,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,33,24.88,1326,271,15,5,5
640,2024-04-11,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,30,24.29,1235,267,13,4,3
649,2024-04-12,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,36,24.72,1456,322,16,6,4
658,2024-04-13,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,32,26.81,1194,367,13,4,3
667,2024-04-14,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,36,26.56,1356,242,14,4,3
676,2024-04-15,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,41,24.62,1666,385,22,7,6
685,2024-04-16,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,38,24.39,1558,353,19,7,4
694,2024-04-17,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,49,26.52,1847,539,23,7,5
703,2024-04-18,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,30,24.43,1228,219,12,3,2
712,2024-04-19,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,38,26.46,1436,458,22,6,4
721,2024-04-20,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,35,26.64,1314,411,19,6,5
730,2024-04-21,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,44,26.53,1658,475,19,7,6
739,2024-04-22,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,39,24.16,1614,514,21,5,4
748,2024-04-23,2024-04 - Retargeting,2024-04 - Canada - Retargeting,2024-04 - Britney - UGC - B,39,24.43,1597,509,31,10,6
